Project,Stage,Datetime, Amount ,Valuation,Type project,Dead,WL,Token,Website,Chains,Description,Announcement,Category-Defillama,Main-Cate,Sub-Cate1,Sub-Cate2,Sub-Cate3,Total Sub-Cate
ALTAVA Group,Seed,3/23/2022,  9.100.000 ,0,,,,,,,We bring culture defining fashion brands into the metaverse,,,Web3,,,,
LasMeta,Seed,11/13/2023,  700.000 ,,,Yes,,,,,,https://finance.yahoo.com/news/lasmeta-secures-700-000-seed-090500662.html,Gamefi,GameFi,Metaverse,Gaming,,Metaverse;Gaming
SynFutures,Seed,1/1/2021,  1.400.000 ,,,,,,,"Polygon,BSC,Arbitrum",SynFutures is a next generation synthetic assets derivatives exchange focused on creating an open and trustless derivatives market .,,DeFi,DeFi,,,,
Joystream,Unknown,3/23/2022,  5.850.000 ,60000000,,,,,,,"A decentralised video platform and blockchain, built on Polkadot",,,Web3,,,,
Metavesco,Post IPO Debt,11/9/2023,  650.000 ,,,Yes,,,,,,https://finance.yahoo.com/news/metavesco-announces-funding-strategic-business-133000046.html,Gamefi,GameFi,Metaverse,Gaming,,Metaverse;Gaming
Gamefam,SeriesA,3/22/2022,  25.000.000 ,0,,,,,,,We provide end-to-end Roblox,,,Web3,,,,
Protego Trust Bank,Series A,1/1/2021,  70.000.000 ,,,,,,,,Protego Trust Bank is a financial service company that offers regulated crypto services to institutional investors.,,CeFi,CeFi,CEX,,,CEX
Blocknative,Series A,12/15/2022,  15.000.000 ,,,,,,,Ethereum,Web3 infrastructure,https://fortune.com/crypto/2022/12/15/blocknative-raises-15-million-to-provide-global-infrastructure-ethereum/,Infrastructure,Infrastructures,,Data Service,,Data Service
Pentagon Games,Seed,8/8/2024,  6.000.000 ,,,No,No,No,https://pentagon.games/,,web3 game developer,https://x.com/PentagonGamesXP/status/1821583507602510243,Gaming,GameFi,Tooling,Gaming,,Tooling;Gaming
DeSo Foundation,Seed,1/1/2021,  200.000.000 ,,,,,,,,"Layer-1 blockchain built to power storage-heavy apps, like social apps, listed on Coinbase with 1.5M+ wallets.",,L1,Infrastructures,Layer-1,,,Layer-1
Rangers Protocol,Private Equity,6/14/2021,  2.500.000 ,,,,,,,,"Rangers Protocol is a virtual world's blockchain infrastructure, professionally supporting NFT and complex applications.",https://medium.com/rangersprotocol/rocket-protocol-upgrades-to-rangers-protocol-while-reaching-63m-evaluation-in-private-round-f18790caf5b7,Infrastructure,Infrastructures,Tooling,,,Tooling
Valour,Corporate Round,1/4/2021,  13.860.000 ,,,,,,,,Valour Structured Products focused on issuing Exchange Traded Products with a focus on Digital Assets.,,CeFi,CeFi,CEX,,,CEX
Lygon,Seed,6/13/2021,  5.550.000 ,,,,,,,,Lygon operates as a banking platform digitising financial contracts.,,,Infrastructures,,,,
Bitstocks Trading Limited,Equity Crowdsale,1/5/2021,  2.040.000 ,,,,,,,,"Bitstocks Trading Limited offers market advisory, management service digital asset trading desk for individual investors and institutions.",,Trading,CeFi,CEX,,,CEX
Bitrefill,Pre-Seed,4/1/2015,  250.000 ,,,,,,,,"Bitrefill offers gift cards, mobile phone refills, and lightning network services on a global scale, receiving bitcoin and cryptocurrencies.",,,Service,Mobile,,,Mobile
Norwegian Block Exchange,,1/6/2021,  7.140.000 ,,,,,,,,"Norwegian Block Exchange is a pioneering, forward-thinking, client-focused cryptocurrency exchange, custodian and payment system.",,Centralized Exchange,CeFi,CEX,,,CEX
BC Group,Post-IPO Equity,6/11/2021,  69.990.000 ,,,,,,,,BC Group is a holding company that specializes in digital assets and blockchain platforms.,,,Infrastructures,,,,
Blocko,Series B,6/11/2018,  8.900.000 ,,,,,,,,Blocko offers a blockchain operating system and development platform.,,Infrastructure,Infrastructures,Tooling,Validator Operation,,Tooling;Validator Operation
Foundation,Pre-Seed,6/10/2021,  2.500.000 ,,,,,,,,Foundation builds Bitcoin-centric tools that empower you to reclaim your sovereignty.,,Infrastructure,Infrastructures,Tooling,,,Tooling
Plutoverse,Unknown,3/21/2022,  -   ,0,,,,,,,A virtual open world being built on Polygon,,,Web3,,,,
Tixologi,Seed,3/21/2022,  2.240.000 ,0,,,,,,,The future of tcketing is here,,,Web3,,,,
RealFevr,Series A,1/10/2021,  2.680.000 ,,,,,,,,"Fantasy Football Mobile App & The First Football Video NFTs Marketplace, backed by IP.",,NFT,NFT,IP,Collectibles,,IP;Collectibles
Blocko,Series A,7/14/2016,  1.500.000 ,,,,,,,,Blocko offers a blockchain operating system and development platform.,,Infrastructure,Infrastructures,Tooling,Validator Operation,,Tooling;Validator Operation
Kikitrade,Angel Round,6/10/2021,  4.000.000 ,,,,,,,,Kikitrade is a cryptocurrency social investment platform that allows individuals to purchase and manage digital assets.,,,Infrastructures,,,,
SharpShark,Unknown,3/19/2022,  -   ,0,,,,,,,A Blockchain enterprise solution for intellectual Property management,,,Web3,,,,
TransCrypt,Unknown,3/19/2022,  20.000 ,0,,,,,,,Changing the way we interact with digital documents,,,Web3,,,,
BlockSpaces,Seed,3/25/2020,  1.260.000 ,,,,,,,,BlockSpaces offers managed blockchain infrastructure and prebuilt connectors between various blockchain networks and business applications.,,Infrastructure,Infrastructures,Tooling,Data Service,,Tooling;Data Service
Conflux Network,Grant,1/12/2021,  5.000.000 ,,,,,,,Conflux,Conflux Network is an open network for an emerging world of digital assets and decentralized applications.,,L1,Infrastructures,Layer-1,,,Layer-1
Blockdaemon,Series A,6/9/2021,  28.000.000 ,,,,,,,,Blockchain staking infrastructure,https://www.coindesk.com/business/2021/06/09/blockchain-staking-firm-blockdaemon-raises-28m-in-series-a-funding/,Infrastructure,Infrastructures,Staking,,,Staking
Northpointe Bank,,1/13/2021,  95.000.000 ,,,,,,,,"Northpointe Bank is a financial services company that provides banking, home loan, and insurance services.",,CeFi,CeFi,,Banking,,Banking
NAX Group,Series A,1/13/2021,  8.500.000 ,,,,,,,,NAX - New Asset eXchange - creates new markets and ecosystems around corporate assets.,,,CeFi,CEX,,,CEX
Blockstream,Seed,11/17/2014,  21.000.000 ,,,,,,,,Blockstream provides Bitcoin and blockchain technology solution for financial markets.,,Infrastructure,Infrastructures,,Bitcoin,,Bitcoin
Mina,Strategic Private Sale,3/18/2022,  92.000.000 ,,,,,,,,,https://twitter.com/MinaProtocol/status/1504487976528715780,,Web3,,,,
CoinSwitch Kuber,Series A,1/13/2021,  15.000.000 ,,,,,,,,Cryptocurrency investment platform,https://entrackr.com/2021/01/crypto-investment-platform-coinswitch-kuber-raises-15-mn-in-series-a-round/,CeFi,CeFi,CEX,,,CEX
Payrails,Seed,3/18/2022,  6.400.000 ,,,,,,,,,https://twitter.com/Payrails_com/status/1504452384776462338,,Web3,,,,
Royale Finance,Series A,1/14/2021,  1.450.000 ,,,,,,,,Royale Finance offers a cross-chain De-Fi solution for the iGaming industry.,,DeFi,DeFi,,,,
Archimedes,Preseed,3/17/2022,  2.400.000 ,,,,,,,,,https://twitter.com/ArchimedesFi/status/1503900099826515969,,Web3,,,,
Blokur,Seed,9/15/2017,  1.200.000 ,,,,,,,,Blokur is a tech company that empowers Internet of Creators using blockchain technology.,,Infrastructure,Infrastructures,Tooling,,,Tooling
DeTech Studios,ICO,1/15/2021,  4.000.000 ,,,,,,,,DeTech Studios is a Defi platform.,,DeFi,DeFi,,,,
Joyride,Seed,3/17/2022,  14.000.000 ,0,,,,,,,Web3 platform for game creators,,,Web3,,,,
Sweet,,1/15/2021,  1.150.000 ,,,,,,,,Powering the NFT Blockchain Digital Collectibles Revolution.,,NFT,NFT,Collectibles,,,Collectibles
Gauntlet,Series A,6/4/2021,  13.630.000 ,,,,,,,,Gauntlet builds a blockchain simulation and testing platform for financial systems.,,,Infrastructures,,,,
Polkadex,Seed,1/15/2021,  3.500.000 ,,,,,,,,The trading engine for Web3 and DeFi,,DeFi,DeFi,,,,
Pontem Network,,6/4/2021,  4.500.000 ,,,,,,,,Pontem Network decentralized application (dapp) framework for Facebooks Diem project.,,,Infrastructures,,,,
OTONOMI,Seed,6/1/2021,  1.060.000 ,,,,,,,,A unique parametric cargo insurance MGA platform,,,Infrastructures,,,,
Defined,Seed,5/28/2021,  2.500.000 ,,,,,,,,Defined is a data platform for the open web that empowers users to query on-chain data and interact across multiple blockchains.,,,Infrastructures,Data Service,,,Data Service
Rain Financial,Series A,1/18/2021,  6.000.000 ,,,,,,,,Middle-East CEX,https://www.coindesk.com/business/2021/01/18/coinbase-joins-6m-funding-round-for-licensed-middle-east-exchange-rain-financial/,Centralized Exchange,CeFi,CEX,,,CEX
Saddle Finance,Seed,1/19/2021,  4.300.000 ,,,,,,,"Ethereum,Arbitrum,Optimism,Evmos,Fantom,Kava",Saddle Finance is an automated market maker (AMM) optimized for pegged value crypto assets.,,DeFi,DeFi,,,,
Wintermute Trading,Series B,1/20/2021,  20.000.000 ,,,,,,,,Wintermute Trading is a crypto market maker focused on high-frequency algorithmic trading and market making services.,,Trading,CeFi,,Asset Management,Trading,Asset Management;Trading
Dexible,Pre-Seed,1/20/2021,  1.500.000 ,,,,,,,Ethereum,Dexible is an automated trading web platform and API focused on the DeFi market.,,DeFi,DeFi,,,,
ADDX,Series A,1/21/2021,  49.900.000 ,,,,,,,,ADDX is a digital securities platform for private market investments,,CeFi,CeFi,Asset Management,,,Asset Management
Martian Republic,Seed,3/17/2022,  -   ,0,,,,,,,The new virtual world,,,Web3,,,,
Mercado Bitcoin,Series A,1/22/2021,  38.000.000 ,,,,,,,,Brazilian CEX,https://cointelegraph.com/news/brazil-s-top-exchange-announces-international-expansion-after-raising-38m,Centralized Exchange,CeFi,CEX,,,CEX
Talos,Series A,5/27/2021,  40.000.000 ,,,,,,,,"Talos is an end-to-end crypto trading platform that provides digital asset trading technology for lenders, brokers, and investors.",,,Infrastructures,,,,
Terra,,1/26/2021,  25.000.000 ,,,,,,,Terra,Terra is a price-stable cryptocurrency designed for mass adoption.,,L1,DeFi,,,,
dYdX,Series B,1/26/2021,  10.000.000 ,,,,,,,Ethereum,"dYdX is a leading decentralized exchange offering Perpetual, Margin, & Spot trading, as well as borrow / lend pools on Ethereum.",,DeFi,DeFi,,,,
Ultiverse,Seed,3/17/2022,  4.500.000 ,50000000,,,,,,,Connecting Web3 with a VR-compatible virtual world,,,Web3,,,,
Yunphant Blockchain,Series B,5/27/2021,  15.670.000 ,,,,,,,,Yunphant Blockchain is a blockchain service and product platform.,,,Infrastructures,,,,
Reach Platform,,5/26/2021,  12.000.000 ,,,,,,,,Reach is a development platform that enables developers to build blockchain applications.,,,Infrastructures,,,,
TapNation,Undisclosed,11/6/2023,  16.020.000 ,,,Yes,,,https://x.com/TapNationGames,,,https://tech.eu/2023/11/06/paris-based-tapnation-raises-eur15m-to-boost-mobile-game-publishing/,Gamefi,GameFi,Gaming,Metaverse,X-to-Earn,Gaming;Metaverse;X-to-Earn
Solidus Labs,Series A,5/24/2021,  20.000.000 ,,,,,,,,Solidus Labs is a crypto-tracking company that provides tailored compliance and risk monitoring solutions for digital assets.,,,Infrastructures,,,,
Chia Network,Series D,5/24/2021,  61.000.000 ,,,,,,,,Chia Network is building a blockchain platform based on Proofs of Space and Time.,,,Infrastructures,,,,
AFAR,Unknown,3/16/2022,  10.000.000 ,0,,,,,,,Hilarious multiplayer battles in A FAR AWAY REALM,,,Web3,,,,
Leve,Pre-Seed,2/1/2021,  1.300.000 ,,,,,,,,"Investment App - Stocks, Crypto and more for the Brazilian market.",,CeFi,CeFi,CEX,,,CEX
InsurAce Protocol,Private Equity,2/1/2021,  3.000.000 ,,,,,,,"Ethereum,Polygon,Avalanche,BSC","InsurAce Protocol is the leading multi-chain DeFi insurance protocol, our mission is to make crypto a safer place.",,DeFi,DeFi,,,,
Chintai,Seed,2/1/2021,  7.500.000 ,,,,,,,EOS,Chintai is a B2B SaaS company that uses blockchain technology to revolutionize capital markets,,DeFi,DeFi,,,,
Certora,Series A,5/21/2021,  7.200.000 ,,,,,,,,Certora provides unique technology for guaranteeing code correctness and security,,,Infrastructures,,,,
Itheum,Unknown,3/16/2022,  -   ,0,,,,,,,"World’s 1st decentralized, cross-chain data brokerage technology platform",,,Web3,,,,
Sahara Protocol,,2/1/2021,  2.000.000 ,,,,,,,,The first dedicated privacy protocol ecosystem that enables on-platform swaps between volatile and stable assets,,DeFi,DeFi,,,,
Jungle,Seed,3/13/2023,  6.000.000 ,,,No,Yes,No,https://www.itsjungle.xyz/,,,https://twitter.com/0xJ010/status/1635304488142766081?s=20,Gamefi,GameFi,Gaming,,,Gaming
RSTLSS,Seed,3/16/2022,  3.500.000 ,0,,,,,,,Making it seamless for fashion creators to access Metaverse in a scalable way while controlling their IP,,,Web3,,,,
Flux Protocol,Seed,5/20/2021,  10.300.000 ,,,,,,,"OKExChain,BSC,Arbitrum,Conflux,Polygon","Flux is a scalable open data protocol providing on-chain data for any asset, commodity, or event.",,Infrastructure,Infrastructures,Data Service,,,Data Service
Opulous,Seed,2/1/2021,  1.500.000 ,,,,,,,Algorand,"Opulous connects parties, allowing anyone to inject capital into the music industry through collateralised loans.",,DeFi,DeFi,,,,
Zeux,Series A,2/1/2021,  2.740.000 ,,,,,,,,Zeux is a comprehensive financial institution headquartered in the UK that provides bespoke banking and investment services.,,CeFi,CeFi,,Asset Management,,Asset Management
Pixura,,9/22/2020,  1.400.000 ,,,,,,,,"Pixura is a platform for creating, tracking, and exchanging crypto collectibles.",,NFT,NFT,NFT,Marketplace,,NFT;Marketplace
PayCommerce,Series B,9/18/2016,  22.000.000 ,,,,,,,,PayCommerce offers a private cloud based global payment network enabling cross border payments and global collections capabilities.,,,Service,,Payment,,Payment
MetaBlox,Seed,3/15/2022,  2.000.000 ,0,,,,,,,A Decentralized ID enabled network with key building blocks for Web3 and Metaverse,,,Web3,,,,
DappHero,Seed,5/17/2021,  1.500.000 ,,,,,,,,dappHero is a SaaS no-code platform for designers and creators to build websites and products with blockchain.,,,Infrastructures,,,,
Angelic,Unknown,3/13/2022,  10.000.000 ,0,,,,,,,Narrative multiplayer strategy RPG backed by the blockchain and set in a collaborative Sci-Fi Metaverse,,,Web3,,,,
Manta Network,Seed,2/2/2021,  1.100.000 ,,,,,,,Polkadot,Privacy DEX,https://www.theblock.co/linked/93365/polychain-privacy-dex-manta-seed,DeFi,DeFi,,,,
Opyn,Series A,2/3/2021,  6.700.000 ,,,,,,,"Ethereum,Polygon,Avalanche",Opyn allows users to earn a premium or take views on assets by trading options on ETH and ERC20s.,,DeFi,DeFi,,,,
Rarible,Seed,2/3/2021,  1.750.000 ,,,,,,,,Rarible is an operator of a community-owned NFT marketplace that allows users to buy and auction off digital collectibles.,,NFT,NFT,NFT,,,NFT
Coinbooks,Seed,3/13/2022,  3.200.000 ,0,,,,,,,Transforming the way DAOs and cryptocurrency firms conduct accounting,,,Web3,,,,
ETHsign,Seed,3/10/2022,  12.000.000 ,,,,,,,,,https://twitter.com/ethsign/status/1501368674719989761,,Web3,,,,
Casa,Seed,2/3/2021,  4.000.000 ,,,,,,,,Private key management and self-custody,https://www.theblock.co/linked/93597/bitcoin-casa-4m-seed-round,CeFi,CeFi,CEX,,,CEX
Mirror World,Seed,3/10/2022,  4.000.000 ,0,,,,,,,A Web3 game matrix with NFT & Game-Fi elements,,,Web3,,,,
0x,Series A,2/5/2021,  15.000.000 ,,,,,,,"Ethereum,Polygon",0x is an open protocol that enables peer-to-peer trading of assets.,,DeFi,DeFi,,,,
Bloq,Seed,2/29/2016,  21.000.000 ,,,,,,,,Building infrastructure for the multi-blockchain future.,,Infrastructure,Infrastructures,Tooling,Cross-chain,,Tooling;Cross-chain
Ramper,Pre-Seed,3/10/2022,  3.000.000 ,0,,,,,,,Making web3 friendly to onramp the next billion users,,,Web3,,,,
Poolin,ICO,2/8/2021,  10.000.000 ,,,,,,,,"Poolin is a multi-cryptocurrency mining pool, custodial wallet, block explorer and transaction accelerator.",,Mining,Service,Wallet,,,Wallet
Kurate DAO,Seed,3/9/2022,  6.850.000 ,,,,,,,,,https://twitter.com/CoinDesk/status/1501196310170542089,,Web3,,,,
Astar Network,Series A,2/9/2021,  2.400.000 ,,,,,,,Polkadot,"Astar Network is a multi-chain dApp hub on Polkadot that supports Ethereum Virtual Machine, WebAssembly, and Layer2 solutions.",,L1,Infrastructures,Layer-1,,,Layer-1
Greenidge,,2/9/2021,  40.500.000 ,,,,,,,,Greenidge is a bitcoin mining and power generation company providing blockchain services for its on-site cryptocurrency mining operation.,,Mining,Service,Bitcoin,Mining,,Bitcoin;Mining
Trovio,Series B,2/10/2021,  4.830.000 ,,,,,,,,Trovio is an Australian Fintech startup that has developed a platform for the digitisation of gold and other precious metals.,,CeFi,CeFi,Asset Management,,,Asset Management
Coinhouse,Series A,2/10/2021,  4.800.000 ,,,,,,,,Coinhouse is the leading French platform for providing investment and payment services in Bitcoin and tens of other crypto assets.,,CeFi,CeFi,Asset Management,,,Asset Management
Celo,,2/10/2021,  20.000.000 ,,,,,,,Celo,Celo is an open platform that makes financial tools accessible to anyone with a mobile phone.,,L1,Infrastructures,Layer-1,,,Layer-1
Balancer,,2/10/2021,  5.000.000 ,,,,,,,"Ethereum,Polygon,Arbitrum",DEX,https://twitter.com/Balancer/status/1359538443341152259?s=20,DeFi,DeFi,,,,
CasperLabs,,2/10/2021,  62.900.000 ,,,,,,,,CasperLabs is building the first provably live pure Proof-of-Stake (PoS) CBC-Casper blockchain designed for real-world applications.,,L1,Infrastructures,Layer-1,,,Layer-1
Reflexer Labs,,2/11/2021,  4.140.000 ,,,,,,,Ethereum,Reflexer Labs is a new decentralized finance project aimed at softening volatility.,,DeFi,DeFi,,,,
Coinsquare,Corporate Round,2/11/2021,  56.400.000 ,,,,,,,,"Coinsquare is a cryptocurrency trading platform for trading Bitcoin, Ethereum, XRP, and other digital currencies.",,Trading,CeFi,CEX,,,CEX
Alkemi,,2/11/2021,  1.500.000 ,,,,,,,Ethereum,Alkemi Network provides a solution that equitably incentivizes various stakeholders to collaborate by putting their coins to work.,,DeFi,DeFi,,,,
Compute North,Debt Financing,2/11/2021,  25.000.000 ,,,,,,,,Compute North delivers high-performance cryptocurrency mining and infrastructure solutions to customers.,,Mining,Service,,,,
Xend Finance,,2/12/2021,  2.000.000 ,,,,,,,,"Xend Finance is a global crypto bank offering up to 15% interest, with an open Web3 infrastructure for developers.",,CeFi,DeFi,,,,
Voyager,Post-IPO Equity,2/12/2021,  100.000.000 ,,,,,,,,Voyager offers a secure way to invest in cryptocurrencies and altcoins using its mobile application.,,Centralized Exchange,CeFi,CEX,,,CEX
Public.com,Series D,2/15/2021,  220.000.000 ,,,,,,,,"Public.com is the fractional investing platform where members build modern portfolios of stocks & ETFs, crypto & NFTs, art & collectibles.",,CeFi,CeFi,Asset Management,,,Asset Management
Catalyx,Seed,2/16/2021,  1.570.000 ,,,,,,,,Catalyx provides a blockchain trading platform for virtual currencies and digital assets.,,Trading,CeFi,CEX,,,CEX
Octa Innovations,Series A,11/1/2016,  1.477.000 ,,,,,,,,"Octa Innovations provides computing, blockchain and artificial intelligence to solve information security issues.",,,Infrastructures,Cloud Services,Computing,,Cloud Services;Computing
Vertalo,Series A,5/13/2021,  5.000.000 ,,,,,,,,Vertalo is a SaaS solution connecting and enabling the digital asset economy.,,,Infrastructures,,,,
Oh Baby Games,Seed,1/30/2023,  6.000.000 ,,,No,No,No,https://ohbabygames.com/,,,https://ohbabygames.com/news,Gamefi,GameFi,Gaming,,,Gaming
Blockchain.com,,2/17/2021,  120.000.000 ,,,,,,,,"Blockchain.com is a platform that offers ways to buy, hold, and use cryptocurrency.",,Centralized Exchange,CeFi,CEX,,,CEX
EPIC LEAGUE,Seed,3/9/2022,  1.000.000 ,0,,,,,,,A hub of the finest blockchain games for community,,,Web3,,,,
Loco,SeriesA,3/9/2022,  42.000.000 ,0,,,,,,,Building the future of Indian gaming entertainment,,,Web3,,,,
BlockFi,Series D,2/19/2021,  350.000.000 ,,,,,,,,BlockFi develops a blockchain-driven wealth management platform for crypto investors.,,,CeFi,,,Fundraising,Fundraising
CoinFLEX,,2/19/2021,  1.250.000 ,,,,,,,smartBCH,CoinFLEX operates as a crypto derivatives exchange and yield platform.,,DeFi,DeFi,,,,
Versus Systems,Strategic,3/9/2022,  -   ,0,,,,,,,"Making games, live events, and streaming content more fun with interactivity and prizes",,,Web3,,,,
Mineplex,Series A,2/20/2021,  6.000.000 ,,,,,,,,"payment, processing, mobile app, digital banking, cross-fi, cryptobank",,CeFi,CeFi,CEX,,,CEX
Upstream,SeriesA,3/8/2022,  12.500.000 ,0,,,,,,,A no-code platform where anyone can start and run a decentralized autonomous organization,,,Web3,,,,
Bottlepay,Seed,2/22/2021,  15.470.000 ,,,,,,,,"Bottle Pay is an app company providing mobile payment, mobile banking, and financial services.",,CeFi,Service,Payment,Banking,,Payment;Banking
UNXD,Seed,3/7/2022,  4.000.000 ,0,,,,,,,Digital luxury and culture,,,Web3,,,,
Digihost,Post-IPO Equity,2/23/2021,  10.000.000 ,,,,,,,,Digihost is a blockchain tech company that specializes in cryptocurrency mining.,,Mining,Service,,,,
Centrifuge,,2/23/2021,  4.300.000 ,,,,,,,Polkadot,Defi Lending,https://medium.com/centrifuge/growing-with-galaxy-digital-and-iosg-ventures-dc2899f4cd2c,DeFi,DeFi,,,,
Oxygen.org,,2/24/2021,  40.000.000 ,,,,,,,,Oxygen.org is a decentralized premier brokerage protocol.,,Centralized Exchange,CeFi,CEX,,,CEX
TiENPAY,Seed,12/1/2016,  500.000 ,,,,,,,,"TiENPAY is a blockchain based digital banking ecosystem software platform for wallet, digital exchange and digital assets.",,,Service,Wallet,,,Wallet
DFX Finance,Seed,2/24/2021,  5.000.000 ,,,,,,,"Ethereum,Polygon",DFX Finance is a new decentralized finance exchange protocol optimized for non-U.S. dollar stable coins.,,DeFi,DeFi,,,,
Alkemi,,2/25/2021,  2.400.000 ,,,,,,,Ethereum,Alkemi Network provides a solution that equitably incentivizes various stakeholders to collaborate by putting their coins to work.,,DeFi,DeFi,,,,
Anchorage,Series C,2/25/2021,  80.000.000 ,,,,,,,,"Anchorage Digital is a digital asset platform offering custody, trading, and financing services, as well as staking and governance.",,Centralized Exchange,DeFi,,,,
Moonveil Entertainment,Seed,10/27/2023,  5.400.000 ,,,Yes,,,dupplicate projects,,,https://medium.com/@Moonveil_Studio/moonveil-own-your-destiny-d926a3737371,Gamefi,GameFi,Gaming,X-to-Earn,,Gaming;X-to-Earn
Anchorage Digital,Series C,2/25/2021,  80.000.000 ,,,,,,,,crypto platform for institutions,https://medium.com/anchorage/anchorage-raises-80-million-series-c-to-expand-digital-bank-services-c5b42097f47f,CeFi,CeFi,CEX,,,CEX
Akord,Seed,3/6/2022,  2.300.000 ,0,,,,,,,Building the Swiss army knife for owning your data,,,Web3,,,,
Forte,Series B,5/12/2021,  185.000.000 ,,,,,,,,Forte is an economic technology for games that powers NFTs and rich token economies.,,Infrastructure,Infrastructures,Asset Management,Tooling,,Asset Management;Tooling
Moola Market,Seed,3/1/2021,  1.400.000 ,,,,,,,Celo,Defi Lending,https://moolamarket.medium.com/moola-raises-1-4m-seed-round-d7725601789a,DeFi,DeFi,,,,
Ocavu,Seed,8/12/2020,  5.500.000 ,,,,,,,,"Ocavu is a Web3 ecosystem that empowers brands for cross-platform 3D, NFTs, tokens, and decentralized community management at scale.",,NFT,NFT,NFT,Marketplace,,NFT;Marketplace
Stratos,Seed,5/8/2021,  1.830.000 ,,,,,,,,decentralized Data Mesh,https://stratos-network.medium.com/stratos-closes-1-83m-seed-and-strategic-funding-round-to-build-the-decentralized-data-mesh-90b72a415b64,Infrastructure,Infrastructures,Data Service,,,Data Service
Blofin,Series A,3/1/2021,  10.000.000 ,,,,,,,,Blofin is a crypto-financial services company.,,,CeFi,CEX,,,CEX
BKN301,Seed,3/1/2021,  3.610.000 ,,,,,,,,BKN301 is a fintech company that provides Banking as a Service in fast growing countries.,,CeFi,CeFi,CEX,,,CEX
Gamepad.co,Seed,3/6/2022,  2.500.000 ,25000000,,,,,,,A next generation gamefi and metaverse launchpad,,,Web3,,,,
SIREN,Seed,3/1/2021,  4.000.000 ,,,,,,,"Ethereum,Polygon",SIREN is a distributed protocol creating a decentralized blockchain exchange for options trading on Ethereum.,,DeFi,DeFi,,,,
Unchained Capital,Seed,3/1/2021,  5.500.000 ,,,,,,,,Unchained Capital is a blockchain financial services company that lends cash to long-term crypto holders.,,CeFi,CeFi,,Asset Management,Liquidity Provision,Asset Management;Liquidity Provision
DeFrag,Strategic,3/4/2022,,,,,,,,,,https://twitter.com/DefragFinance/status/1499473001238171649,,Web3,,,,
BCB Group,,3/2/2021,  4.500.000 ,,,,,,,,Europes leading provider of business accounts and trading services for the digital asset economy,,,CeFi,CEX,,,CEX
TaxBit,Series A,3/2/2021,  100.000.000 ,,,,,,,,Crypto tax software,https://www.coindesk.com/markets/2021/03/02/taxbit-raises-100m-in-bid-to-take-crypto-taxation-software-global/,Taxes,CeFi,Taxes,,,Taxes
Efinity,Series A,3/2/2021,  18.500.000 ,,,,,,,Polkadot,Efinity is a cross-chain NFT blockchain that brings non-fungible tokens to everyone.,,L1,Infrastructures,Layer-1,,,Layer-1
Praxis,Series A,3/4/2022,  15.000.000 ,,,,,,,,,https://twitter.com/PraxisSociety/status/1499502795011117056,,Web3,,,,
Mangata Finance,Seed,3/2/2021,  1.400.000 ,,,,,,,Polkadot,Easy and secure decentralized trading for Polkadot and Ethereum. The first DEX blockchain without insider trading and MEV.,,L1,DeFi,,,,
Celestia,Seed,3/3/2021,  1.500.000 ,,,,,,,,Celestia is a blockchain distributed ledger.,,L1,Infrastructures,Layer-1,,,Layer-1
KINE Technology,Seed,3/3/2021,  7.000.000 ,,,,,,,,Defi Derivatives trading protocol,,DeFi,DeFi,,,,
Sovryn,Private token sale,3/3/2021,  10.000.000 ,,,,,,,,Bitcoin-based DeFi protocol,https://www.theblock.co/linked/96931/bitcoin-based-defi-protocol-sovryn-raises-10-million-token-sale?utm_source=coinmarketcap&utm_medium=rss,DeFi,DeFi,,,,
Pinnacle Crypto Labs,Pre-Seed,3/3/2021,  15.000.000 ,,,,,,,,Pinnacle Crypto Labs is a Seychelles-headquartered blockchain start-up investment firm and incubator.,,,CeFi,,Asset Management,,Asset Management
BadgerDAO,Treasury Diversification,3/3/2021,  21.000.000 ,,,,,,,"Ethereum,Arbitrum,Polygon,Fantom,BSC",Yield Aggregator,https://badgerdao.medium.com/badger-completes-21-million-dao-treasury-diversification-with-partners-0xb1-polychain-capital-e5fe20182b2e,DeFi,DeFi,,,,
IndiGG,Seed,1/19/2022,  6.000.000 ,,,No,No,Yes,https://kgen.io/gamer,,NFT based play-to-earn game,http://businessnewsthisweek.com/business/sequoia-and-lightspeed-invest-in-6m-seed-round-for-indigg-to-establish-the-play-to-earn-movement-in-india/,Gaming,GameFi,Gaming,,,Gaming
Diagonal,Preseed,3/4/2022,  2.500.000 ,,,,,,,,,https://twitter.com/DiagonalFinance/status/1499742888594493453,,Web3,,,,
Babylon Finance,Seed,3/4/2021,  1.900.000 ,10000000,,,,,,Ethereum,Indexes,https://medium.com/babylon-finance/announcing-babl-8f41b58c52c5,DeFi,DeFi,,,,
Unslashed Finance,Seed,3/4/2021,  2.000.000 ,,,,,,,Ethereum,Unslashed Finance provides insurance products for crypto assets.,,DeFi,DeFi,,,,
Eco,Series A,3/5/2021,  26.000.000 ,,,,,,,,Eco provides a digital cryptocurrency platform that can be used as a payment tool for daily-use transactions.,,,CeFi,CEX,,,CEX
Zignaly,,3/4/2022,  50.000.000 ,,,,,,,,,https://twitter.com/zignaly/status/1499401668072333316,,Web3,,,,
XMTP,Seed,5/5/2021,  5.000.000 ,,,,,,,,"XMTP is a communication protocol and network that connects communities, creators, protocols, applications, and users.",,,Infrastructures,,,,
